good_key,product_group,cn_code,goods_description
7601-unwrought-aluminium,Aluminium,7601,Unwrought aluminium
7603-aluminium-powders-and-flakes,Aluminium,7603,Aluminium powders and flakes
76041010-bars-and-rods,Aluminium,7604 10 10,Bars and rods
76041090-profiles,Aluminium,7604 10 90,Profiles
76042100-hollow-profiles,Aluminium,7604 21 00,Hollow profiles
76042910-bars-and-rods,Aluminium,7604 29 10,Bars and rods
76042990-profiles,Aluminium,7604 29 90,Profiles
7605-aluminium-wire,Aluminium,7605,Aluminium wire
7606-aluminium-plates-sheets-and-strip-of-a-t,Aluminium,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm"
7607-aluminium-foil-whether-or-not-printed-or,Aluminium,7607,"Aluminium foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0,2 mm"
7608-aluminium-tubes-and-pipes,Aluminium,7608,Aluminium tubes and pipes
76090000-aluminium-tube-or-pipe-fittings-for-exam,Aluminium,7609 00 00,"Aluminium tube or pipe fittings (for example, couplings, elbows, sleeves)"
76101000-doors-windows-and-their-frames-and-thres,Aluminium,7610 10 00,"Doors, windows and their frames and thresholds for doors"
761090-other,Aluminium,7610 90,Other
76109010-bridges-and-bridge-sections-towers-and-l,Aluminium,7610 90 10,"Bridges and bridge-sections, towers and lattice masts"
76109090-other,Aluminium,7610 90 90,Other
76110000-aluminium-reservoirs-tanks-vats-and-simi,Aluminium,7611 00 00,"Aluminium reservoirs, tanks, vats and similar containers, for any material (other than compressed or liquefied gas), of a capacity exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment"
7612-aluminium-casks-drums-cans-boxes-and-sim,Aluminium,7612,"Aluminium casks, drums, cans, boxes and similar containers (including rigid or collapsible tubular containers), for any material (other than compressed or liquefied gas), of a capacity not exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment"
76130000-aluminium-containers-for-compressed-or-l,Aluminium,7613 00 00,Aluminium containers for compressed or liquefied gas
7614-stranded-wire-cables-plaited-bands-and-t,Aluminium,7614,"Stranded wire, cables, plaited bands and the like, of aluminium, not electrically insulated"
