country_iso3,country_iso2,country_name,region,income_group
TWN,TW,Taiwan,East Asia & Pacific,High income
BES,BQ,Bonaire Sint Eustatius and Saba,Latin America & Caribbean,
SPM,PM,Saint Pierre and Miquelon,North America,
COK,CK,Cook Islands,East Asia & Pacific,
MSR,MS,Montserrat,Latin America & Caribbean,
AIA,AI,Anguilla,Latin America & Caribbean,
CXR,CX,Christmas Island,East Asia & Pacific,
NIU,NU,Niue,East Asia & Pacific,
SHN,SH,Saint Helena,Sub-Saharan Africa,
WLF,WF,Wallis and Futuna,East Asia & Pacific,
VAT,VA,Vatican,Europe & Central Asia,
