country_iso3,data_year,fiscal_year,income_group_code,income_group
ABW,1987,FY89,H,High income
ABW,1988,FY90,H,High income
ABW,1989,FY91,H,High income
ABW,1990,FY92,H,High income
ABW,1991,FY93,UM,Upper middle income
ABW,1992,FY94,UM,Upper middle income
ABW,1993,FY95,UM,Upper middle income
ABW,1994,FY96,H,High income
ABW,1995,FY97,H,High income
ABW,1996,FY98,H,High income
ABW,1997,FY99,H,High income
ABW,1998,FY00,H,High income
ABW,1999,FY01,H,High income
ABW,2000,FY02,H,High income
ABW,2001,FY03,H,High income
ABW,2002,FY04,H,High income
ABW,2003,FY05,H,High income
ABW,2004,FY06,H,High income
ABW,2005,FY07,H,High income
ABW,2006,FY08,H,High income
ABW,2007,FY09,H,High income
ABW,2008,FY10,H,High income
ABW,2009,FY11,H,High income
ABW,2010,FY12,H,High income
ABW,2011,FY13,H,High income
ABW,2012,FY14,H,High income
ABW,2013,FY15,H,High income
ABW,2014,FY16,H,High income
ABW,2015,FY17,H,High income
ABW,2016,FY18,H,High income
ABW,2017,FY19,H,High income
ABW,2018,FY20,H,High income
ABW,2019,FY21,H,High income
ABW,2020,FY22,H,High income
ABW,2021,FY23,H,High income
ABW,2022,FY24,H,High income
ABW,2023,FY25,H,High income
ABW,2024,FY26,H,High income
ABW,2025,FY27,H,High income
AGO,1988,FY90,LM,Lower middle income
AGO,1989,FY91,LM,Lower middle income
AGO,1990,FY92,LM,Lower middle income
AGO,1991,FY93,LM,Lower middle income
AGO,1992,FY94,LM,Lower middle income
AGO,1993,FY95,LM,Lower middle income
AGO,1994,FY96,LM,Lower middle income
AGO,1995,FY97,L,Low income
AGO,1996,FY98,L,Low income
AGO,1997,FY99,L,Low income
AGO,1998,FY00,L,Low income
AGO,1999,FY01,L,Low income
AGO,2000,FY02,L,Low income
AGO,2001,FY03,L,Low income
AGO,2002,FY04,L,Low income
AGO,2003,FY05,L,Low income
AGO,2004,FY06,LM,Lower middle income
AGO,2005,FY07,LM,Lower middle income
AGO,2006,FY08,LM,Lower middle income
AGO,2007,FY09,LM,Lower middle income
AGO,2008,FY10,LM,Lower middle income
AGO,2009,FY11,LM,Lower middle income
AGO,2010,FY12,LM,Lower middle income
AGO,2011,FY13,UM,Upper middle income
AGO,2012,FY14,UM,Upper middle income
AGO,2013,FY15,UM,Upper middle income
AGO,2014,FY16,UM,Upper middle income
AGO,2015,FY17,UM,Upper middle income
AGO,2016,FY18,LM,Lower middle income
AGO,2017,FY19,LM,Lower middle income
AGO,2018,FY20,LM,Lower middle income
AGO,2019,FY21,LM,Lower middle income
AGO,2020,FY22,LM,Lower middle income
AGO,2021,FY23,LM,Lower middle income
AGO,2022,FY24,LM,Lower middle income
AGO,2023,FY25,LM,Lower middle income
AGO,2024,FY26,LM,Lower middle income
AGO,2025,FY27,LM,Lower middle income
ANT,1987,FY89,UM,Upper middle income
ANT,1988,FY90,UM,Upper middle income
ANT,1989,FY91,UM,Upper middle income
ANT,1990,FY92,UM,Upper middle income
ANT,1991,FY93,UM,Upper middle income
ANT,1992,FY94,UM,Upper middle income
ANT,1993,FY95,UM,Upper middle income
ANT,1994,FY96,H,High income
ANT,1995,FY97,H,High income
ANT,1996,FY98,H,High income
ANT,1997,FY99,H,High income
ANT,1998,FY00,H,High income
ANT,1999,FY01,H,High income
ANT,2000,FY02,H,High income
ANT,2001,FY03,H,High income
ANT,2002,FY04,H,High income
ANT,2003,FY05,H,High income
ANT,2004,FY06,H,High income
ANT,2005,FY07,H,High income
ANT,2006,FY08,H,High income
ANT,2007,FY09,H,High income
ANT,2008,FY10,H,High income
ANT,2009,FY11,H,High income
ARE,1987,FY89,H,High income
ARE,1988,FY90,H,High income
ARE,1989,FY91,H,High income
ARE,1990,FY92,H,High income
ARE,1991,FY93,H,High income
ARE,1992,FY94,H,High income
ARE,1993,FY95,H,High income
ARE,1994,FY96,H,High income
ARE,1995,FY97,H,High income
ARE,1996,FY98,H,High income
ARE,1997,FY99,H,High income
ARE,1998,FY00,H,High income
ARE,1999,FY01,H,High income
ARE,2000,FY02,H,High income
ARE,2001,FY03,H,High income
ARE,2002,FY04,H,High income
ARE,2003,FY05,H,High income
ARE,2004,FY06,H,High income
ARE,2005,FY07,H,High income
ARE,2006,FY08,H,High income
ARE,2007,FY09,H,High income
ARE,2008,FY10,H,High income
ARE,2009,FY11,H,High income
ARE,2010,FY12,H,High income
ARE,2011,FY13,H,High income
ARE,2012,FY14,H,High income
ARE,2013,FY15,H,High income
ARE,2014,FY16,H,High income
ARE,2015,FY17,H,High income
ARE,2016,FY18,H,High income
ARE,2017,FY19,H,High income
ARE,2018,FY20,H,High income
ARE,2019,FY21,H,High income
ARE,2020,FY22,H,High income
ARE,2021,FY23,H,High income
ARE,2022,FY24,H,High income
ARE,2023,FY25,H,High income
ARE,2024,FY26,H,High income
ARE,2025,FY27,H,High income
ARG,1987,FY89,UM,Upper middle income
ARG,1988,FY90,UM,Upper middle income
ARG,1989,FY91,LM,Lower middle income
ARG,1990,FY92,LM,Lower middle income
ARG,1991,FY93,UM,Upper middle income
ARG,1992,FY94,UM,Upper middle income
ARG,1993,FY95,UM,Upper middle income
ARG,1994,FY96,UM,Upper middle income
ARG,1995,FY97,UM,Upper middle income
ARG,1996,FY98,UM,Upper middle income
ARG,1997,FY99,UM,Upper middle income
ARG,1998,FY00,UM,Upper middle income
ARG,1999,FY01,UM,Upper middle income
ARG,2000,FY02,UM,Upper middle income
ARG,2001,FY03,UM,Upper middle income
ARG,2002,FY04,UM,Upper middle income
ARG,2003,FY05,UM,Upper middle income
ARG,2004,FY06,UM,Upper middle income
ARG,2005,FY07,UM,Upper middle income
ARG,2006,FY08,UM,Upper middle income
ARG,2007,FY09,UM,Upper middle income
